CP,Entidad,Municipio,Asentamiento,Ámbito
44110,Jal.,Guadalajara,Fracc. Vallarta Poniente,Urbano
44130,Jal.,Guadalajara,Fracc. Arcos,Urbano
44210,Jal.,Guadalajara,Fracc. Jardines del Country,Urbano
44210,Jal.,Guadalajara,Fracc. Jardines del Country 2a. Sección,Urbano
44218,Jal.,Guadalajara,Fracc. Fabrica de Atemajac,Urbano
44220,Jal.,Guadalajara,Fracc. Santa Elena Alcalde Oriente,Urbano
44220,Jal.,Guadalajara,Fracc. Santa Mónica,Urbano
44230,Jal.,Guadalajara,Fracc. Autocinema,Urbano
44230,Jal.,Guadalajara,Fracc. Santa Elena de La Cruz,Urbano
44230,Jal.,Guadalajara,Fracc. Santa Elena Estadio,Urbano
44240,Jal.,Guadalajara,Fracc. Residencial San Elias,Urbano
44240,Jal.,Guadalajara,Fracc. Colomos Independencia,Urbano
44240,Jal.,Guadalajara,Fracc. Paseos Independencia,Urbano
44250,Jal.,Guadalajara,Fracc. Praderas del Paraíso (Rinconadas del Paraíso),Urbano
44257,Jal.,Guadalajara,Fracc. San Antonio,Urbano
44290,Jal.,Guadalajara,Fracc. Independencia Poniente,Urbano
44298,Jal.,Guadalajara,Fracc. Jardines Alcalde,Urbano
44300,Jal.,Guadalajara,Fracc. Jardines de Santa Isabel,Urbano
44300,Jal.,Guadalajara,Fracc. Batallón de San Patricio,Urbano
44340,Jal.,Guadalajara,Fracc. Independencia Oriente,Urbano
44390,Jal.,Guadalajara,Fracc. Balcones de La Joya,Urbano
44390,Jal.,Guadalajara,Fracc. Rinconada de Huentitán,Urbano
44440,Jal.,Guadalajara,Fracc. Valle Del Álamo,Urbano
44500,Jal.,Guadalajara,Fracc. Residencial Chapalita,Urbano
44500,Jal.,Guadalajara,Fracc. Campo de Polo Chapalita,Urbano
44510,Jal.,Guadalajara,Fracc. Jardines de Plaza Del Sol,Urbano
44510,Jal.,Guadalajara,Fracc. Juan Diego,Urbano
44510,Jal.,Guadalajara,Fracc. Residencial Del Bosque,Urbano
44520,Jal.,Guadalajara,Fracc. Jardines del Bosque Centro,Urbano
44530,Jal.,Guadalajara,Fracc. Bertha Cuervo de Jaredo,Urbano
44530,Jal.,Guadalajara,Fracc. Rincón Del Bosque,Urbano
44538,Jal.,Guadalajara,Fracc. Rinconada de La Victoria,Urbano
44540,Jal.,Guadalajara,Fracc. Perla Real,Urbano
44540,Jal.,Guadalajara,Fracc. Bosques de La Victoria,Urbano
44540,Jal.,Guadalajara,Fracc. Bosques Del Valle,Urbano
44540,Jal.,Guadalajara,Fracc. Jardines del Valle,Urbano
44550,Jal.,Guadalajara,Fracc. Verde Valle,Urbano
