CP,Entidad,Municipio,Asentamiento,Ámbito
64100,NL,Monterrey,Fracc. Privadas de Lincoln,Urbano
64102,NL,Monterrey,Fracc. Arcos del Sol Elite,Urbano
64102,NL,Monterrey,Fracc. Arcos del Sol,Urbano
64102,NL,Monterrey,Fracc. Urbi Villa Bonita,Urbano
64102,NL,Monterrey,Fracc. Urbi Villa del Rey,Urbano
64102,NL,Monterrey,Fracc. Las Plazas,Urbano
64102,NL,Monterrey,Fracc. Estrella Sector Elite,Urbano
64102,NL,Monterrey,Fracc. Jardines del Rey,Urbano
64102,NL,Monterrey,Fracc. Urbi Villa del Cedro 1er. Sector,Urbano
64102,NL,Monterrey,Fracc. Las Estaciones,Urbano
64102,NL,Monterrey,Fracc. Urbi Villa del Cedro 2do Sector,Urbano
64103,NL,Monterrey,Fracc. Valle de la Esperanza,Urbano
64103,NL,Monterrey,Fracc. Cerradas del Poniente,Urbano
64103,NL,Monterrey,"Fracc. La Alianza Sector K (P-43,51)",Urbano
64103,NL,Monterrey,Fracc. La Alianza Sector D (P-94),Urbano
64103,NL,Monterrey,Fracc. La Alianza Sector F (P-142),Urbano
64103,NL,Monterrey,"Fracc. La Alianza Sector E (P-47,48)",Urbano
64103,NL,Monterrey,"Fracc. La Alianza Sector H (P-140,192)",Urbano
64103,NL,Monterrey,Fracc. La Alianza Sector O (P-67),Urbano
64103,NL,Monterrey,"Fracc. La Alianza Sector N (P-71,74)",Urbano
64103,NL,Monterrey,Fracc. La Alianza Sector B,Urbano
64103,NL,Monterrey,Fracc. La Alianza Sector R (P-8-9),Urbano
64103,NL,Monterrey,Fracc. Comercial Lincoln Poniente,Urbano
64103,NL,Monterrey,Fracc. La Alianza Sector S (P-28),Urbano
64103,NL,Monterrey,Fracc. La Alianza Sector T (P-24),Urbano
64110,NL,Monterrey,Fracc. Misión Lincoln,Urbano
64116,NL,Monterrey,Fracc. Cumbre Alta,Urbano
64180,NL,Monterrey,Fracc. Torres Pravia,Urbano
64180,NL,Monterrey,Fracc. Privada Cumbres,Urbano
64217,NL,Monterrey,Fracc. Popular,Urbano
64299,NL,Monterrey,Fracc. Industrial,Urbano
64340,NL,Monterrey,Fracc. Cumbres Le Fontaine,Urbano
64340,NL,Monterrey,Fracc. Cumbres Elite Sector Villas,Urbano
64340,NL,Monterrey,Fracc. Privadas de Cumbres,Urbano
64345,NL,Monterrey,Fracc. Cumbres Elite Premier Privadas Alpes y Everest,Urbano
64345,NL,Monterrey,Fracc. Cumbre Allegro,Urbano
64346,NL,Monterrey,Fracc. Cima del Bosque,Urbano
64346,NL,Monterrey,Fracc. Cumbres San Ángel,Urbano
64346,NL,Monterrey,Fracc. Privada Cumbres Diamante,Urbano
64346,NL,Monterrey,Fracc. Cumbres Rodeo,Urbano
64346,NL,Monterrey,Fracc. Cumbres Renacimiento,Urbano
64346,NL,Monterrey,Fracc. Paseo de Cumbres,Urbano
64346,NL,Monterrey,Fracc. Real de Cumbres,Urbano
64349,NL,Monterrey,Fracc. Cumbres Madeira,Urbano
64349,NL,Monterrey,Fracc. Cumbres Santa Clara,Urbano
64349,NL,Monterrey,Fracc. Cumbres Callejuelas 1 Sector,Urbano
64349,NL,Monterrey,Fracc. Cerradas de Cumbres,Urbano
64349,NL,Monterrey,Fracc. Puerta de Hierro,Urbano
64349,NL,Monterrey,Fracc. Cumbres Santa Clara,Urbano
64349,NL,Monterrey,Fracc. Espacio Cumbres,Urbano
64349,NL,Monterrey,Fracc. Cumbres Elite,Urbano
64349,NL,Monterrey,Fracc. Cumbres San Agustín,Urbano
64349,NL,Monterrey,Fracc. Privadas Cumbres Elite,Urbano
64366,NL,Monterrey,Fracc. Cumbrescondido,Urbano
64440,NL,Monterrey,Fracc. Ferrocarrilero (Predio 21),Urbano
64550,NL,Monterrey,Fracc. Privada Pinos,Urbano
64619,NL,Monterrey,Fracc. Residencial Cumbres,Urbano
64619,NL,Monterrey,Fracc. Cumbres Paraíso,Urbano
64619,NL,Monterrey,Fracc. Bosques de las Cumbres,Urbano
64619,NL,Monterrey,Fracc. Colinas de las Cumbres,Urbano
64619,NL,Monterrey,Fracc. Cumbres Mediterráneo,Urbano
64634,NL,Monterrey,Fracc. Villas de San Jerónimo,Urbano
64634,NL,Monterrey,Fracc. La Vereda Privada Residencial,Urbano
64634,NL,Monterrey,Fracc. Colonial San Jerónimo,Urbano
64634,NL,Monterrey,Fracc. Prados de San Jerónimo,Urbano
64635,NL,Monterrey,Fracc. Colinas Diamante,Urbano
64637,NL,Monterrey,Fracc. Hacienda San Jerónimo,Urbano
64638,NL,Monterrey,Fracc. Cantera,Urbano
64638,NL,Monterrey,Fracc. Las Lajas,Urbano
64639,NL,Monterrey,Fracc. Residencial Dinastía,Urbano
64639,NL,Monterrey,Fracc. Monteleón,Urbano
64650,NL,Monterrey,Fracc. Cumbres del Valle,Urbano
64710,NL,Monterrey,Fracc. Hacienda San Francisco,Urbano
64720,NL,Monterrey,Fracc. Centro,Urbano
64720,NL,Monterrey,Fracc. Independencia,Urbano
64750,NL,Monterrey,Fracc. Haciendas de La Sierra,Urbano
64753,NL,Monterrey,Fracc. Los Angeles,Urbano
64765,NL,Monterrey,Fracc. Antigua,Urbano
64800,NL,Monterrey,Fracc. Buenos Aires,Urbano
64810,NL,Monterrey,Fracc. La Florida,Urbano
64820,NL,Monterrey,Fracc. Ex Hacienda el Ancón,Urbano
64858,NL,Monterrey,Fracc. Balcones de Satélite,Urbano
64858,NL,Monterrey,Fracc. Privadas del Río,Urbano
64890,NL,Monterrey,Fracc. Residencial y Club de Golf la Herradura,Urbano
64898,NL,Monterrey,Fracc. Residencial Vistalta,Urbano
64898,NL,Monterrey,Fracc. Pedregal de la Silla,Urbano
64969,NL,Monterrey,Fracc. Contry Sur,Urbano
64979,NL,Monterrey,Fracc. Valle de Bosquencinos,Urbano
64979,NL,Monterrey,Fracc. Balcones de Mederos,Urbano
64983,NL,Monterrey,Fracc. Ébanos,Urbano
64983,NL,Monterrey,Fracc. Antara,Urbano
64983,NL,Monterrey,Fracc. Las Estancias,Urbano
64983,NL,Monterrey,Fracc. Palmares Residencial,Urbano
64984,NL,Monterrey,Fracc. Villas de la Herradura,Urbano
64984,NL,Monterrey,Fracc. El Sabino Cerrada Residencial,Urbano
64984,NL,Monterrey,Fracc. Vistancias,Urbano
64985,NL,Monterrey,Fracc. Granadas,Urbano
64985,NL,Monterrey,Fracc. Villa Santa Isabel,Urbano
64985,NL,Monterrey,Fracc. Villa Murano,Urbano
64985,NL,Monterrey,Fracc. Laderas Caranday,Urbano
64986,NL,Monterrey,Fracc. Soria,Urbano
64986,NL,Monterrey,Fracc. Montealbán Residencial,Urbano
64987,NL,Monterrey,Fracc. Catujanes,Urbano
64987,NL,Monterrey,Fracc. Privada la Herradura,Urbano
64987,NL,Monterrey,Fracc. Bosques del Vergel,Urbano
64987,NL,Monterrey,Fracc. Encinos del Vergel,Urbano
64988,NL,Monterrey,Fracc. Privada el Vergel,Urbano
64988,NL,Monterrey,Fracc. Privadas de la Fuente,Urbano
64988,NL,Monterrey,Fracc. Encino Real,Urbano
64988,NL,Monterrey,Fracc. Rincón de la Escondida,Urbano
64988,NL,Monterrey,Fracc. Lomas del Vergel,Urbano
64988,NL,Monterrey,Fracc. Residencial la Escondida,Urbano
64988,NL,Monterrey,Fracc. Residencial Amura,Urbano
64988,NL,Monterrey,Fracc. Paseo del Vergel,Urbano
64988,NL,Monterrey,Fracc. Sierra Escondida,Urbano
64988,NL,Monterrey,Fracc. Colinas del Huajuco,Urbano
64988,NL,Monterrey,Fracc. Privada Villa Real,Urbano
64988,NL,Monterrey,Fracc. Privada el Vergel,Urbano
64988,NL,Monterrey,Fracc. Residencial Amura,Urbano
64988,NL,Monterrey,Fracc. Encino Real,Urbano
